Station,OS X,OS Y,Latitude,Longitude,Zone,Postcode
East Acton,521656,181159,51.516263414268899,-0.248112224861801,"2",W12 0BP
East Croydon,532904,165801,51.375716101925697,-0.091863496021995,"5",CR0 1LF
East Dulwich,533449,175375,51.461625582822798,-0.080436571503624,"2",SE22 8EF
East Finchley,527242,189204,51.587332544711600,-0.164743886020014,"3",N2 0NW
East Ham,542373,184255,51.539246164904696,0.051516293320307,"3,4",E6 2JA
East India,538729,180753,51.508684006289400,-0.002370331549097,"2,3",E14 9PS
East Putney,524387,174840,51.458879783532602,-0.210998234182405,"2,3",SW15 6SN
Eastcote,511191,187627,51.576551823244998,-0.396823299331061,"5",HA5 1QZ
Eden Park,537396,167598,51.390796102941600,-0.026669715553204,"5",BR3 3HQ
Edgware,519527,192009,51.614229622162597,-0.275093666466036,"5",HA8 7AW
Edgware Road (Bakerloo),527026,181778,51.520645361259099,-0.170539551586277,"1",W2 1DY
Edgware Road (Circle/District/Hammersmith and City),527227,181711,51.519998043114107,-0.167668254281134,"1",NW1 5DH
Edmonton Green,534273,193590,51.625115702594400,-0.061639019451700,"4",N9 9DX
Elephant and Castle,531940,179144,51.495849382439197,-0.100738714840864,"1,2",SE1 6LW
Elm Park,552446,185647,51.549124584185797,0.197252681986762,"6",RM12 4RW
Elmers End,535788,168389,51.398291108624903,-0.049463832278520,"4",BR3 4EJ
Elmstead Woods,542247,170656,51.417080631464799,0.044229342724344,"4",BR7 5EW
Elstree and Borehamwood,519098,196299,51.652875576094800,-0.279828619474053,"6",WD6 3LS
Eltham,542690,174962,51.455662220801301,0.052329307733168,"4",SE9 6UB
Elverson Road,537848,176243,51.468372189945399,-0.016816376211146,"2,3",SE8 4LA
Embankment,530406,180380,51.507312494776798,-0.122367336527157,"1",WC2N 6NS
Emerson Park,553971,187918,51.569114908911303,0.220222934339532,"6",RM11 2JR
Enfield Chase,532181,196607,51.652722111215297,-0.090704205484984,"5",EN2 7AA
Enfield Lock,536437,198737,51.670846122046299,-0.028391070105989,"6",EN3 6BW
Enfield Town,532970,196544,51.651970072309602,-0.079329922089082,"5",EN1 1YB
Epping,546197,201552,51.693686166111299,0.113825552744826,"6",CM16 4HW
Epsom Downs,522805,159756,51.323659438837701,-0.238970226780431,"6",KT17 4JX
Erith,551075,178096,51.481647675012702,0.174261289232435,"6",DA8 1TY
Essex Road,532114,184132,51.540633310850403,-0.096365525895624,"2",N1 2SU
Euston,529587,182735,51.528664330528798,-0.133296471846732,"1",NW1 2DU
Euston Square,529587,182735,51.528664330528798,-0.133296471846732,"1",NW1 2BN
Ewell East,522571,162152,51.345243876206197,-0.241503001372188,"6",KT17 1QR
Ewell West,521473,162654,51.349991142154401,-0.257089133042890,"6",KT17 1TU
Fairlop,544902,190655,51.596109543196299,0.090593279426820,"4",IG6 3HD
Falconwood,544498,175394,51.459085796386198,0.078509693012273,"4",SE9 2RN
Farringdon,531585,181844,51.520195688297498,-0.104843061950350,"1",EC1M 6BY
Feltham,510601,173298,51.447879172991293,-0.409824480951765,"6",TW13 4BY
Fenchurch Street,533434,180932,51.511566705893202,-0.078554152807721,"1",EC3M 4AJ
Fieldway,537665,163212,51.351317007254998,-0.024503265366105,"3,4,5,6",CR0 0QA
Finchley Central,525232,190664,51.600903250521903,-0.193220636879031,"4",N3 2RY
Finchley Road,526293,184703,51.547096198672897,-0.180050560513333,"2",NW6 3BS
Finchley Road and Frognal,526035,185033,51.550119498241003,-0.183651202652137,"2",NW3 5HT
Finsbury Park,531385,186784,51.564635445576897,-0.105881486175190,"2",N4 3JU
Forest Gate,540447,185322,51.549316118809003,0.024189091506703,"3",E7 0QH
Forest Hill,535398,172943,51.439308312369398,-0.053328504414839,"3",SE23 3HD
Fulham Broadway,525402,177244,51.480260903539097,-0.195544163747990,"2",SW6 1BY
Fulwell,514832,171841,51.433942565399903,-0.349438524762415,"6",TW2 5NY
Gallions Reach,543873,180935,51.509034139998398,0.071775394421608,"3",E6 6FZ
Gants Hill,543266,188432,51.576552952072703,0.066084097801222,"4",IG2 6UD
George Street,532432,165594,51.373966056841098,-0.098718105218688,"3,4,5,6",CRO 1LA
Gidea Park,552941,189306,51.581865746728703,0.205976980623001,"6",RM2 6BX
Gipsy Hill,533321,171237,51.424469522693997,-0.083835167516736,"3",SE19 1PL
Gloucester Road,526196,178848,51.494499557716701,-0.183543559526477,"1",SW7 4SF
Golders Green,525199,187471,51.572215533235202,-0.194834559142163,"3",NW11 7RN
Goldhawk Road,523131,179616,51.502076966571302,-0.227404006254784,"2",W12 8EG
Goodge Street,529505,181837,51.520613109457202,-0.134807690165887,"1",W1T 2HF
Goodmayes,546462,187369,51.566180982405200,0.111729654287275,"4",IG3 9UH
Gordon Hill,531889,197799,51.663502237466503,-0.094473299786474,"5",EN2 0QU
Gospel Oak,528263,185677,51.555405293199598,-0.151301032571058,"2",NW5 1LT
Grange Hill,544963,192590,51.613480425628602,0.092272529661441,"4",IG7 5QB
Grange Park,531753,195472,51.642623077247698,-0.097314423803414,"5",N21 1RE
Gravel Hill,536359,163536,51.354543255385501,-0.043121698754967,"3,4,5,6",CR0 5BJ
Great Portland Street,528861,182174,51.523788795894603,-0.143961425280776,"1",W1W 5PP
Green Park,529012,180283,51.506760484493903,-0.142477575597482,"1",W1J 7BX
Greenford,514808,183861,51.541980070869002,-0.345878740102040,"4",UB6 8PR
Greenwich,537956,177267,51.477547664237598,-0.014863083614262,"2,3",SE10 8JQ
Grove Park,540702,172099,51.430432643694203,0.022598502158195,"4",SE12 0PW
Gunnersbury,519843,178401,51.491863411452897,-0.275164135822926,"3",W4 5RP
Hackbridge,528582,165929,51.377860899564403,-0.153879198222095,"4",SM6 7BJ
Hackney Central,534922,184943,51.547257444982797,-0.055589511978132,"2",E8 1LL
Hackney Downs,534598,185137,51.549078085174003,-0.060185105063153,"2",E8 1LA
Hackney Wick,537036,184588,51.543558406495997,-0.025259502805246,"2",E9 5ER
Hadley Wood,526197,198199,51.668402871082101,-0.176581189644067,"6",EN4 0EJ
Haggerston,533560,183953,51.538684730179199,-0.075595258088281,"2",E8 4DY
Hainault,545124,191411,51.602845327026799,0.094108550302695,"4",IG6 3BD
Hammersmith (District),523474,178483,51.491819776079303,-0.222860928771942,"2",W6 9YA
Hammersmith (Met.),523346,178665,51.493483352120201,-0.224640157433783,"2",W6 0ED
Hampstead,526408,185757,51.556542595329397,-0.178014559946798,"2",NW3 1QG
Hampstead Heath,527344,185631,51.555199924561308,-0.164566183247471,"3",NW3 2QD
Hampton,513299,169797,51.415879552443201,-0.372135253741401,"6",TW12 2HU
Hampton Court,515376,168332,51.402293877436101,-0.342757152152150,"6",KT8 9AE
Hampton Wick,517407,169752,51.414640042318702,-0.313103609659083,"6",KT1 4DQ
Hanger Lane,518506,182621,51.530072033630397,-0.292996145555265,"3",W5 1DL
Hanwell,515426,180560,51.512185957848203,-0.338051884444727,"4",W7 3EB
Harlesden,520952,183367,51.536258327737599,-0.257495674234359,"3",NW10 8UT
Harold Wood,554858,190626,51.593202217827503,0.234204073424791,"6",RM3 0BL
Harringay,531395,188200,51.577357909394401,-0.105208252550848,"3",N4 1RW
Harringay Green Lanes,531880,188189,51.577145892924293,-0.098217391776152,"3",N4 2NU
Harrington Road,535002,168535,51.399790571801297,-0.060699954556837,"3,4,5,6",SE25 4NF
Harrow and Wealdstone,515486,189508,51.592594632669503,-0.334252685083283,"5",HA3 7RF
Harrow-on-the-Hill,515329,188035,51.579388118685102,-0.337001517323026,"5",HA1 1BB
Hatch End,513024,191370,51.609828503917797,-0.369178780976322,"6",HA5 5LZ
Hatton Cross,509614,175369,51.466685304206997,-0.423380563424048,"5,6",TW6 3PF
Haydons Road,526012,171161,51.425457318206000,-0.188929359351404,"3",SW19 8SL
Hayes,540003,165993,51.375736706829400,0.010142652463717,"5",BR2 7EN
Hayes and Harlington,509717,179417,51.503049074506102,-0.420641903606725,"5",UB3 4BX
Headstone Lane,513892,190574,51.602499626180602,-0.356907514381109,"5",HA2 6NB
Heathrow Terminal 4,507939,174565,51.459780429691897,-0.447729589959589,"6",TW6 3AA
Heathrow Terminal 5,504934,175642,51.470025425890498,-0.490647503171403,"6",TW6 2GA
Heathrow Terminals 1 2 3,507587,175838,51.471289400668802,-0.452407225588878,"6",TW6 1EB
Hendon,522143,188271,51.580074983216498,-0.238630520603124,"3,4",NW4 4PT
Hendon Central,522959,188631,51.583133046747697,-0.226734140088258,"3,4",NW4 3AS
Herne Hill,531934,174486,51.453991369728598,-0.102562908313382,"2,3",SE24 0JW
Heron Quays,537386,180127,51.503386568845897,-0.021953532062443,"2",E14 4JH
High Barnet,525027,196310,51.651688253342101,-0.194165380168301,"5",EN5 5RP
High Street Kensington,525622,179527,51.500729445389098,-0.191566057626722,"1",W8 5SA
Highams Park,538581,191841,51.608355993525102,-0.000135285919517,"4",E4 9LA
Highbury and Islington,531562,184770,51.546495506665103,-0.104082139863697,"2",N1 1SE
Highgate,528503,188158,51.577646617276898,-0.146934862183765,"3",N6 5BH
Hillingdon,507567,185015,51.553777515905701,-0.449897993430179,"6",UB10 9NR
Hither Green,538997,174497,51.452401722174898,-0.000970912324507,"3",SE13 5NF
Holborn,530553,181488,51.517235735069299,-0.119840507432380,"1",WC2B 6AA
Holland Park,524564,180215,51.507146483905800,-0.206557777890637,"2",W11 3RB
Holloway Road,530930,185457,51.552816103370503,-0.112935696952850,"2",N7 8HS
Homerton,536108,184901,51.546595446617197,-0.038512347104293,"2",E9 5SD
Honor Oak Park,536002,174221,51.450648240761197,-0.044153121142058,"3",SE23 3LE
Hornchurch,553931,186274,51.554355109585202,0.218926996584347,"6",RM12 6LS
Hornsey,530911,189202,51.586474851514502,-0.111815638121109,"3",N8 8SE
Hounslow,513902,174998,51.462504817585703,-0.361796256019886,"5",TW3 3DL
Hounslow Central,513592,175928,51.470925765892098,-0.365958129172842,"4",TW3 1JG
Hounslow East,514327,176254,51.473707894379999,-0.355275321854870,"4",TW3 4AB
Hounslow West,512215,176140,51.473105715816700,-0.385707628650378,"5",TW3 3DH
Hoxton,533582,183142,51.531391612525098,-0.075585647203494,"1,2",E2 8HR
Hyde Park Corner,528330,179801,51.502584012708198,-0.152474113978490,"1",SW1X 7LY
Ickenham,508127,185811,51.560825053389507,-0.441579512642598,"6",UB10 8PD
Ilford,543501,186501,51.559142241524093,0.068685190898036,"4",IG1 4DU
Imperial Wharf,526299,176674,51.474938927013397,-0.182837504741453,"2",SW6 2HA
Island Gardens,538228,178432,51.487950088120400,-0.010493303135647,"2",E14 3FA
Isleworth,515570,176430,51.475037423643997,-0.337328765089716,"4",TW7 4BX
Kenley,532400,160100,51.324600312412493,-0.101219712762299,"6",CR8 5JA
Kennington,531660,178337,51.488662458334097,-0.105070613410369,"2",SE11 4JQ
Kensal Green,523241,182784,51.530524214157907,-0.224713384073025,"2",NW10 5JT
Kensal Rise,523501,183201,51.534215064590107,-0.220820978659314,"2",NW10 3NT
Kensington (Olympia),524324,179178,51.497879699178696,-0.210379242339114,"2",W14 0NE
Kent House,535999,170000,51.412717659210202,-0.045815553179762,"4",BR3 1HY
Kentish Town,529029,185096,51.550009521690200,-0.140471263842415,"2",NW5 2AA
Kentish Town West,528603,184700,51.546547969524397,-0.146756409869457,"2",NW5 3LD
Kenton,516833,188304,51.581496283816897,-0.315216866613499,"4",HA3 0XS
Kew Bridge,518898,178172,51.490004615974797,-0.288846494745842,"3",TW8 0EF
Kew Gardens,519173,176708,51.476789136252101,-0.285381011417179,"3,4",TW9 3PZ
Kidbrooke,540999,175697,51.462690187932601,0.028300239135906,"3",SE3 9NF
Kilburn,524589,184644,51.546944435366107,-0.204632719131385,"2",NW6 7QL
Kilburn High Road,525553,183591,51.537267741107499,-0.191113105733610,"2",NW6 7QL
Kilburn Park,525361,183349,51.535135536904903,-0.193966057123936,"2",NW6 5AD
King George V,543231,180135,51.502008607354703,0.062206213876840,"3",E16 2JF
King Henry's Drive,537978,162558,51.345364097588302,-0.020264757446655,"3,4,5,6",CR0 0LH
King's Cross,530312,182991,51.530798190907902,-0.122756421397208,"1",N1 9AL
Kings Cross St. Pancras,530236,182935,51.530312462202303,-0.123872129573615,"1",N1 9AL
Kingsbury,519361,188739,51.584876516993297,-0.278601608230903,"4",NW9 9EG
Kingston,518244,169549,51.412641764247702,-0.301141040202050,"6",KT1 1UJ
Kingswood,524816,156585,51.294723138991998,-0.211233226116293,"6",KT20 6EN
Knightsbridge,527765,179650,51.501354897607101,-0.160664486118808,"1",SW3 1ED
Knockholt,548499,162896,51.345751939254399,0.130831038819843,"6",TN14 7HR
Ladbroke Grove,524284,181328,51.517210673453597,-0.210198172458574,"2",W10 6HJ
Ladywell,537716,174884,51.456192135075099,-0.019244401145345,"3",SE13 7XB
Lambeth North,531165,179489,51.499129945865803,-0.111768261180963,"1",SE1 7XG
Lancaster Gate,526711,180796,51.511890943083699,-0.175429928574922,"1",W2 4QH
Langdon Park,537807,181863,51.518883938351401,-0.015213798959812,"2",E14 6NW
Latimer Road,523789,180954,51.513958098483897,-0.217459666065143,"2",W10 6SZ
Lea Bridge,536175,187133,51.566636261265401,-0.036683157738068,"3",E10 7PG
Lebanon Road,533385,165756,51.375198996970298,-0.084973649174511,"3,4,5,6",CR0 6SF
Lee,540002,174197,51.449458519882498,0.013364692370397,"3",SE12 9JG
Leicester Square,529987,180812,51.511291181619796,-0.128242147580481,"1",WC2H 0AP
Lewisham,538163,175863,51.464880713235402,-0.012432700905880,"2,3",SE13 7RY
Leyton,538295,186244,51.558132270243100,-0.006465331582436,"3",E10 5PS
Leyton Midland Road,538150,187490,51.569364239336998,-0.008066347433393,"3",E10 6JT
Leytonstone,539345,187429,51.568522289099597,0.009140451951301,"3,4",E11 1HE
Leytonstone High Road,539298,186903,51.563807344188497,0.008254468831182,"3",E11 4RE
Limehouse,536150,181087,51.512312163538297,-0.039380077749548,"2",E14 7JD
Liverpool Street,533160,181596,51.517598264343903,-0.082249622277109,"1",EC2M 7PR
Lloyd Park,533711,164549,51.364275535154093,-0.080746273072169,"3,4,5,6",CR0 5RA
London Bridge,532937,180152,51.504674347562897,-0.086005598173039,"1",SE1 2SW
London City Airport,542231,180294,51.503689664155203,0.047872715444808,"3",E16 2DS
London Fields,534795,184212,51.540718841101103,-0.057699686410355,"2",E8 3PH
Loughborough Junction,531902,175897,51.466678899876797,-0.102497341535979,"2",SW9 8SA
Loughton,542314,195641,51.641570477697698,0.055279079103281,"6",IG10 4PD
Lower Sydenham,536831,171372,51.424846842511599,-0.033330341542937,"4",SE26 5AU
Maida Vale,525967,182792,51.529995056718093,-0.185432646931354,"2",W9 1JS
Malden Manor,521101,166497,51.384609536058399,-0.261120416398882,"4",KT3 5PN
Manor House,532074,187482,51.570747140220199,-0.095684976258855,"2,3",N4 1BZ
Manor Park,541929,185757,51.552854350050403,0.045723870060229,"3,4",E12 5EP
Mansion House,532347,180962,51.512091750122103,-0.094197657754332,"1",EC4N 6JD
Marble Arch,527875,181056,51.513965491790501,-0.158571216249827,"1",W1C 2JS
Maryland,539175,184881,51.545668271034302,0.005681654181823,"3",E15 1SA
Marylebone,527510,181985,51.522396668440102,-0.163492563860306,"1",NW1 6JJ
Maze Hill,539194,177909,51.483013656524697,0.003204896817655,"3",SE10 9XG
Merton Park,525182,169798,51.413391608444797,-0.201342031166711,"3,4,5,6",SW19 3HA
Mile End,536577,182545,51.525310970420200,-0.032666084330523,"2",E3 4DH
Mill Hill Broadway,521300,191900,51.612871127886002,-0.249537068494836,"4",NW7 2JU
Mill Hill East,524057,191460,51.608316644628701,-0.209895712873731,"4",NW7 1BS
Mitcham,527345,168082,51.397488614072202,-0.170871647171924,"3,4,5,6",CR4 4BD
Mitcham Eastfields,528488,169323,51.408383909865307,-0.154001718800568,"3",CR4 2ND
Mitcham Junction,528292,167611,51.393042567943702,-0.157436643661822,"4",CR4 4HN
Monument,532907,180814,51.510630415901801,-0.086188313687779,"1",EC4R 9AA
Moor Park,508563,193509,51.629930665410399,-0.432913027426758,"6,7",HA6 2JQ
Moorgate,532688,181677,51.518437139007702,-0.089017687875094,"1",EC2M 6TX
Morden,525664,168563,51.402185961613498,-0.194851981723419,"4",SM4 5AZ
Morden Road,525788,169310,51.408871889006001,-0.192805677251520,"3,4,5,6",SW19 3BX
Morden South,525301,167900,51.396307697574898,-0.200301562051216,"4",SM4 5AN
Mornington Crescent,529193,183359,51.534362217356907,-0.138744349838543,"2",NW1 2JA
Mortlake,520458,175779,51.468167936091000,-0.267203313914429,"3",SW14 8LN
Motspur Park,522581,167724,51.395319626608902,-0.239439745975172,"4",KT3 6JJ
Mottingham,542600,173197,51.439824976606999,0.050324202176705,"4",SE9 4EN
Mudchute,537908,178789,51.491236185337698,-0.014959944892763,"2",E14 9UW
Neasden,521415,185422,51.554627717006497,-0.250115045332305,"3",NW10 1PH
New Addington,538187,162255,51.342590508963902,-0.017383327085399,"3,4,5,6",CR0 0DE
New Barnet,526502,195996,51.648536769800600,-0.172969714019881,"5",EN5 1QT
New Beckenham,536718,170463,51.416705548655997,-0.035304949320436,"4",BR3 1QW
New Cross,536750,177110,51.476429415181599,-0.032278811502992,"2",SE14 6LD
New Cross Gate,536250,176967,51.475264928161202,-0.039529051936052,"2",SE14 6AR
New Eltham,544005,172999,51.437690660187698,0.070444618392266,"4",SE9 2AB
New Malden,521392,168612,51.403555906722907,-0.256218106160674,"4",KT3 4PX
New Southgate,528672,192218,51.614093666574902,-0.143009776041921,"4",N11 1QH
Newbury Park,544947,188378,51.575638355936093,0.090303157711892,"4",IG2 7RN
Norbiton,519424,169495,51.411909351021798,-0.284199947894883,"5",KT2 7AZ
Norbury,530650,169690,51.411188502872101,-0.122799401844700,"3",SW16 3RW
North Acton,520831,181937,51.523432427431402,-0.259729527847009,"2,3",W3 6UP
North Dulwich,532950,174567,51.454481808669101,-0.087918680717938,"2,3",SE21 7BX
North Ealing,518816,181243,51.517622288852898,-0.288993552615282,"3",W5 3AF
North Greenwich,539168,179827,51.500255152558204,0.003586259124858,"2,3",SE10 0PH
North Harrow,513540,188578,51.584631298927398,-0.362632993263413,"5",HA2 7SR
North Sheen,519132,175442,51.465419611251200,-0.286397466744351,"3",TW9 4QA
North Wembley,517663,186198,51.562396291538107,-0.303948219293080,"4",HA0 3NT
Northfields,517051,179296,51.500491670459802,-0.315064818770216,"3",W13 9QU
Northolt,513228,184519,51.548212900955001,-0.368440595510011,"5",UB5 4AA
Northolt Park,513829,185579,51.557619051283901,-0.359434196382601,"5",UB5 4XE
Northumberland Park,534861,191035,51.602015733099499,-0.054132025638138,"3",N17 0HY
Northwick Park,516634,187967,51.578508688014800,-0.318199391910867,"4",HA3 0AT
Northwood,509236,191441,51.611213610714998,-0.423837786672373,"6",HA6 2XL
Northwood Hills,510267,190305,51.600802645329303,-0.409311357826304,"6",HA6 1NZ
Norwood Junction,534001,168193,51.396954322133801,-0.075209856530230,"4",SE25 5AG
Notting Hill Gate,525296,180481,51.509375336345400,-0.195921618455085,"1,2",W11 3HT
Nunhead,535293,175975,51.466579984185898,-0.053679742644066,"2",SE15 3XE
Oakleigh Park,527001,194800,51.637676363045799,-0.166194966595086,"4",EN5 1BU
Oakwood,529349,195968,51.647637960474903,-0.131853539818674,"5",N14 4UT
Ockendon,559004,182828,51.521989645232892,0.290483475055789,"7",RM15 6PD
Old Street,532764,182474,51.525581471625998,-0.087622957828534,"1",EC1V 9NR
Orpington,545500,165900,51.373520047252597,0.089028901466373,"6",BR6 0SX
Osterley,514529,177094,51.481216810086202,-0.352096096073539,"4",TW7 4PU
Oval,531108,177516,51.481412600426701,-0.113321075862410,"2",SE11 4PP
Oxford Circus,529102,181227,51.515223402475293,-0.140836171281216,"1",W1C 2JS
Paddington,526680,181185,51.515393785476093,-0.175736752057180,"1",W2 1RH
Palmers Green,530925,192798,51.618786747993603,-0.110272500024408,"4",N13 4PN
Park Royal,519074,182274,51.526834020173901,-0.284928917693023,"3",W5 3EL
Parsons Green,525029,176645,51.474960152611303,-0.201124492361412,"2",SW6 4HU
Peckham Rye,534152,176271,51.469511364738203,-0.069983553186299,"2",SE15 5DQ
Penge East,535374,170791,51.419975348972493,-0.054495264806681,"4",SE20 7BQ
Penge West,534952,170567,51.418062928115503,-0.060645764552223,"4",SE20 8NU
Perivale,516404,183270,51.536341821196103,-0.323070421981107,"4",UB6 7NP
Petts Wood,544440,167548,51.388598990900093,0.074480029768347,"5",BR5 1LZ
Phipps Bridge,526534,168717,51.403376727803298,-0.182296788876552,"3,4,5,6",CR4 3QN
Piccadilly Circus,529612,180625,51.509696748582400,-0.133711597193113,"1",W1J 9HS
Pimlico,529711,178386,51.489552862109498,-0.133108258416060,"1",SW1V 2JA
Pinner,512233,189409,51.592361678087499,-0.381223790209780,"5",HA5 5LZ
Plaistow,540058,183305,51.531288335035107,0.017780641976788,"3",E13 0DY
Plumstead,544803,178820,51.489792424471702,0.084299616546870,"4",SE18 7EA
Ponders End,536097,195599,51.642730691280001,-0.034525104526366,"5",EN3 4LA
Pontoon Dock,541226,180102,51.502216215656098,0.033325707480742,"3",E16 2SB
Poplar,537698,180603,51.507588070486001,-0.017275493308351,"2",E14 0DS
Preston Road,518260,187292,51.572103728155803,-0.294972012548964,"4",HA3 0PS
Prince Regent,541215,180905,51.509434549718002,0.033488574045841,"3",E16 3HE
Pudding Mill Lane,537930,183585,51.534327854308998,-0.012768511952880,"2,3",E15 2PH
Purfleet,555417,178174,51.481173006029799,0.236774835792541,"7",RM16 1PL
Purley,531500,161497,51.337363554122597,-0.113613517836059,"6",CR8 2AP
Purley Oaks,532503,162594,51.346989339956799,-0.098815333062892,"6",CR2 0ND
Putney,523992,175061,51.460952530512699,-0.216603373518713,"2,3",SW15 1RT
Putney Bridge,524476,175842,51.467865337533397,-0.209365416848384,"2",SW6 3UH
Queens Park,524612,183239,51.534312650570101,-0.204798149386757,"2",NW6 6HJ
Queens Road Peckham,535015,176825,51.474284709265298,-0.057354978856183,"2",SE15 2JR
Queensbury,518802,189728,51.593882975436102,-0.286331597393279,"4",HA8 5NP
Queenstown Road,528763,176738,51.474959127149504,-0.147355312102418,"2",SW8 3RX
Queensway,525883,180615,51.510449232949902,-0.187419903087067,"1",W2 4SS
Rainham,552097,182099,51.517340515278597,0.190691975491140,"6",RM13 9YH
Ravensbourne,538699,170201,51.413870378631600,-0.006937815532007,"4",BR3 5HE
Ravenscourt Park,522558,178711,51.494067980539597,-0.235969233097656,"2",W6 0UG
Rayners Lane,512979,187538,51.575396732317103,-0.371060813774267,"5",HA5 5EG
Raynes Park,523206,169303,51.409375345516708,-0.229912939347557,"4",SW20 8NE
Rectory Road,534001,186199,51.558763476696598,-0.068385664721593,"2",N16 7QB
Redbridge,541833,188371,51.576366917370699,0.045394043962122,"4",IG4 5BG
Reedham,530835,160821,51.331441713064201,-0.123402624414610,"6",CR8 2DG
Reeves Corner,531895,165726,51.375277200459699,-0.106379778230850,"3,4,5,6",CR0 1XP
Regents Park,528765,182174,51.523810673215003,-0.145344410943574,"1",NW1 5HA
Richmond,518072,175174,51.463232885842501,-0.301739134006667,"4",TW9 2AZ
Rickmansworth,505717,194605,51.640323014466702,-0.473684584103803,"7",WD3 1QY
Riddlesdown,532497,161001,51.332674830924901,-0.099493667478297,"6",CR8 1HN
Roding Valley,541612,192882,51.616956446084600,0.044026207008969,"4",IG9 6LN
Romford,551377,188455,51.574641591876201,0.183055272296591,"6",RM1 1SX
Rotherhithe,535239,179870,51.501594504831203,-0.052966296414160,"2",SE16 4LF
Royal Albert,542029,180823,51.508493869637093,0.045177145065864,"3",E16 2QD
Royal Oak,525764,181485,51.518294352605203,-0.188823673616337,"2",W2 6ET
Royal Victoria,540139,180833,51.509055235064800,0.017965412568385,"3",E16 1DE
Ruislip,509510,187102,51.572161920974501,-0.421234925940202,"6",HA4 8LD
Ruislip Gardens,510367,185763,51.559960178137302,-0.409294111142661,"5",HA4 6LG
Ruislip Manor,510088,187258,51.573451574510102,-0.412849354371243,"6",HA4 9AA
Russell Square,530207,182122,51.523013038091101,-0.124590197769580,"1",WC1N 1LG
Sanderstead,532855,162743,51.348246253654096,-0.093708500054184,"6",CR2 0PL
Sandilands,533869,165749,51.375022272149693,-0.078026589773070,"3,4,5,6",CR0 5PN
Selhurst,532993,167636,51.392185769913603,-0.089899037087754,"4",SE25 6LL
Seven Kings,545401,187095,51.563993351761802,0.096319574739078,"4",IG3 8RE
Seven Sisters,533646,188927,51.583362159991196,-0.072466822819450,"3",N15 5LA
Shadwell,534936,180942,51.511300155266703,-0.056919207126133,"2",E1 2QE
Shenfield,561356,195022,51.630873097202098,0.329952264360176,"7",CM15 8JD
Shepherds Bush,523741,179904,51.504532150984097,-0.218519159443698,"2",W12 8LH
Shepherds Bush Market,523121,180039,51.505880708107199,-0.227400493416075,"2",W12 7JD
Shoreditch High Street,533501,182258,51.523466818969602,-0.077087424671985,"1",E1 6AW
Shortlands,539399,169300,51.405602366795200,0.002767544389066,"4",BR2 0JA
Sidcup,546300,172698,51.434398457571000,0.103315359084748,"5",DA15 7AW
Silver Street,533544,192472,51.615242477972203,-0.072589741560248,"4",N18 1QX
Slade Green,552250,176584,51.467747655153097,0.190518387554055,"6",DA8 2NX
Sloane Square,528080,178657,51.492359764246501,-0.156488857475889,"1",SW1W 8BB
Snaresbrook,540161,188828,51.580891273766497,0.021463927781742,"4",E11 1QE
South Acton,520166,179279,51.499685828359098,-0.270215207515349,"3",W3 0DS
South Bermondsey,535156,178319,51.487676615353998,-0.054754821237404,"2",SE16 2PL
South Croydon,532896,164358,51.362750197983402,-0.092517363286550,"5",CR2 7PA
South Ealing,517605,179437,51.501644020742802,-0.307040244951366,"3",W5 4QB
South Greenford,515462,182991,51.534027557157899,-0.336737482010078,"4",UB6 2WE
South Hampstead,526425,184081,51.541476847596599,-0.178371199960387,"2",NW8 0DJ
